simulation_name,timestep,TTL_max,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,active_vSDN_count,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_changed,hp_runtime,latency_factor,max_length,max_vSDN_size,mean_switch_hpair_count,request_processing_time,shortest_k,simulation_id,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size,acceptable_count_cum,vSDN_count_cum,acceptance_ratio_cum
L55_mrs14_rpt6_ttl6,1,6.0,0.0,0.0,,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,4.0,False,0.4680000000000001,0.55,872.0,14.0,75.44000000000001,0.0,16.0,4.5,6.0,0.0,0.0,123.0,0.0,11.316666666666666,0.0,6.0,0.0
L55_mrs14_rpt6_ttl6,2,6.0,0.0,0.0,,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,4.0,False,0.4680000000000001,0.55,872.0,14.0,75.44000000000001,0.0,16.0,4.5,6.0,0.0,0.0,123.0,0.0,11.666666666666666,0.0,12.0,0.0
L55_mrs14_rpt6_ttl6,3,6.0,0.0,0.0,,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,4.0,False,0.4680000000000001,0.55,872.0,14.0,75.44000000000001,0.0,16.0,4.5,6.0,0.0,0.0,123.0,0.0,12.066666666666666,0.0,18.0,0.0
L55_mrs14_rpt6_ttl6,4,6.0,0.0,0.0,,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,4.0,False,0.4680000000000001,0.55,872.0,14.0,75.44000000000001,0.0,16.0,4.5,6.0,0.0,0.0,123.0,0.0,11.666666666666668,0.0,24.0,0.0
L55_mrs14_rpt6_ttl6,5,6.0,0.0,0.0,,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,4.0,False,0.4680000000000001,0.55,872.0,14.0,75.44000000000001,0.0,16.0,4.5,6.0,0.0,0.0,123.0,0.0,12.0,0.0,30.0,0.0
L55_mrs14_rpt6_ttl6,6,6.0,0.0,0.0,,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,4.0,False,0.4680000000000001,0.55,872.0,14.0,75.44000000000001,0.0,16.0,4.5,6.0,0.0,0.0,123.0,0.0,11.4,0.0,36.0,0.0
L55_mrs14_rpt6_ttl6,7,6.0,0.0,0.0,,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,4.0,False,0.4680000000000001,0.55,872.0,14.0,75.44000000000001,0.0,16.0,4.5,6.0,0.0,0.0,123.0,0.0,11.85,0.0,42.0,0.0
L55_mrs14_rpt6_ttl6,8,6.0,0.1,0.0166666666666666,,0.1,0.0,69.2,52.8,85.9,75.8,1586.0,4.0,False,0.4680000000000001,0.55,872.0,14.0,75.44000000000001,0.0,16.0,4.5,6.0,0.0,0.0,123.0,0.0,11.516666666666667,0.1,48.0,0.0020833333333333333
L55_mrs14_rpt6_ttl6,9,6.0,0.0,0.0,,0.1,0.0,69.2,52.8,85.9,75.8,1586.0,4.0,False,0.4680000000000001,0.55,872.0,14.0,74.572,0.0,16.0,4.5,6.0,0.0,0.0,123.0,0.0,11.500000000000002,0.1,54.0,0.0018518518518518517
L55_mrs14_rpt6_ttl6,10,6.0,0.0,0.0,,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,4.0,False,0.4680000000000001,0.55,872.0,14.0,75.44000000000001,0.0,16.0,4.5,6.0,0.0,0.0,123.0,0.0,11.433333333333334,0.1,60.0,0.0016666666666666666
