latency_factor,vSDN_size,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_runtime,max_length,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp
0.1,2,12.8,0.3764705882352936,0.011,0.0,59.8,4.7,151.3,69.3,1586.0,24.0,0.354,158.0,0.0,16.0,34.0,100.0,1.0,123.0,7.0
0.1,3,10.2,0.1645161290322577,0.011,0.0,79.3,4.8,152.7,59.4,1586.0,24.0,0.354,158.0,0.0,16.0,62.0,100.0,1.0,123.0,7.0
0.1,4,2.7,0.027000000000000003,0.011,0.0,84.8,0.7,134.4,9.8,1586.0,24.0,0.354,158.0,0.005,16.0,100.0,100.0,0.8264462809917352,123.0,7.0
0.1,5,0.1,0.001,0.011,0.0,9.4,-0.9,14.8,-0.9,1586.0,24.0,0.354,158.0,0.009999999999999998,16.0,100.0,100.0,0.39682539682539597,123.0,7.0
0.1,6,0.0,0.0,0.011,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.354,158.0,0.009999999999999998,16.0,100.0,100.0,0.187617260787992,123.0,7.0
0.1,7,0.0,0.0,0.011,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.354,158.0,0.009999999999999998,16.0,100.0,100.0,0.09017132551848502,123.0,7.0
0.1,8,0.0,0.0,0.011,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.354,158.0,0.009999999999999998,16.0,100.0,100.0,0.04504504504504501,123.0,7.0
0.1,9,0.0,0.0,0.011,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.354,158.0,0.011,16.0,100.0,100.0,0.023860653781913,123.0,7.0
0.1,10,0.0,0.0,0.011,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.354,158.0,0.011,16.0,100.0,100.0,0.013351134846461003,123.0,7.0
0.1,11,0.0,0.0,0.011,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.354,158.0,0.013000000000000001,16.0,100.0,100.0,0.007882084023015002,123.0,7.0
0.1,12,0.0,0.0,0.011,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.354,158.0,0.012,16.0,100.0,100.0,0.0049446202531640004,123.0,7.0
0.1,13,0.0,0.0,0.011,0.0,-1.0,-1.0,-1.0,-1.0,1586.0,24.0,0.354,158.0,0.015,16.0,100.0,100.0,0.0033337778370440005,123.0,7.0
0.2,2,26.7,0.7852941176470584,0.05199999999999999,0.0,184.5,68.3,314.4,280.9,1586.0,17.0,0.41900000000000004,317.0,0.003,16.0,34.0,100.0,1.0,123.0,7.0
0.2,3,30.3,0.48870967741935434,0.05199999999999999,0.0,188.6,64.0,314.4,280.7,1586.0,17.0,0.41900000000000004,317.0,0.009999999999999998,16.0,62.0,100.0,1.0,123.0,7.0
0.2,4,21.1,0.211,0.05199999999999999,0.0,186.0,48.9,314.4,279.5,1586.0,17.0,0.41900000000000004,317.0,0.011,16.0,100.0,100.0,0.8264462809917352,123.0,7.0
